male	 12	 n	 10	 5	 home	 sometimes	 sometimes	 5
male	 15	 y	 10	 10	 no	 regularly	 regularly	 8
male	 13	 n	 10	 10	 no	 sometimes	 sometimes	 10
male	 15	 n	 10	 10	 home	 sometimes	 regularly	 10
male	 15	 n	 10	 10	 home	 sometimes	 sometimes	 10
male	 12	 dk	 5	 5	 no	 sometimes	 rarely	 6
male	 14	 n	 6	 7	 no	 regularly	 sometimes	 5
male	 10	 dk	 5	 5	 no	 sometimes	 rarely	 7
male	 15	 n	 7	 8	 no	 rarely	 regularly	 10
male	 13	 dk	 9	 5	 no	 never	 rarely	 1
male	 15	 y	 9	 5	 home	 sometimes	 rarely	 1
male	 13	 y	 10	 10	 home	 regularly	 regularly	 10
male	 13	 n	 9	 10	 no	 sometimes	 regularly	 10
male	 13	 n	 9	 7	 school	 never	 regularly	 6
male	 12	 n	 5	 4	 home	 sometimes	 sometimes	 9
male	 13	 n	 7	 4	 home	 sometimes	 rarely	 9
male	 14	 n	 5	 5	 no	 sometimes	 sometimes	 10
male	 14	 dk	 5	 5	 no	 sometimes	 sometimes	 10
male	 14	 dk	 5	 5	 no	 never	 never	 10
male	 12	 y	 5	 3	 no	 sometimes	 never	 7
male	 14	 dk	 6	 7	 no	 sometimes	 never	 7
male	 12	 dk	 6	 7	 home	 regularly	 never	 7
male	 14	 n	 10	 10	 school	 regularly	 regularly	 9
male	 13	 dk	 6	 6	 no	 rarely	 sometimes	 8
male	 10	 dk	 6	 6	 no	 sometimes	 never	 8
male	 11	 dk	 6	 9	 home	 veryregularly	 never	 10
male	 15	 n	 6	 9	 school	 regularly	 regularly	 10
male	 15	 n	 6	 9	 school	 regularly	 regularly	 10
male	 15	 n	 6	 9	 school	 veryregularly	 regularly	 10
male	 15	 y	 5	 5	 no	 sometimes	 rarely	 9
male	 15	 y	 5	 5	 no	 sometimes	 rarely	 9
male	 12	 y	 6	 7	 school	 regularly	 sometimes	 8
male	 11	 y	 8	 8	 school	 regularly	 regularly	 8
male	 13	 y	 9	 9	 school	 regularly	 sometimes	 9
male	 13	 y	 5	 5	 home	 sometimes	 never	 4
male	 16	 dk	 5	 6	 no	 never	 rarely	 6
male	 13	 n	 5	 6	 no	 sometimes	 never	 4
male	 13	 n	 9	 10	 home	 regularly	 sometimes	 5
male	 14	 n	 9	 10	 school	 sometimes	 sometimes	 9
male	 15	 n	 9	 10	 school	 sometimes	 sometimes	 9
male	 13	 y	 5	 7	 home	 sometimes	 sometimes	 5
male	 13	 y	 5	 10	 home	 veryregularly	 sometimes	 5
female	 12	 n	 10	 10	 home	 veryregularly	 never	 5
female	 11	 n	 10	 10	 home	 veryregularly	 never	 5
female	 15	 y	 5	 10	 no	 sometimes	 rarely	 5
