female	 15	 3	 4	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 14	 3	 99	5	5	5	5	5	99	99	 good	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
male	 15	 3	 99	99	99	99	66	99	99	99	 good	 none	 yes	 never	 yes	 no	 never	 yes 
female	 14	 2	 99	4	4	99	99	99	99	99	 good	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 14	 2	 99	1	2	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 regularly	 yes 
male	 13	 3	 99	99	2	99	99	99	99	99	 okay	 experience	 yes	 never	 yes	 no	 rarely	 yes 
male	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 maybe 
female	 13	 3	 99	99	5	99	99	99	99	99	 good	 none	 yes	 never	 yes	 school	 sometimes	 yes 
female	 13	 2	 99	99	5	99	99	99	99	99	 good	 none	 yes	 never	 yes	 school	 sometimes	 yes 
male	 15	 3	 99	99	4	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 school	 veryregularly	 yes 
male	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 14	 2	 99	99	4	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 14	 2	 99	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
male	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 16	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
female	 13	 3	 99	99	5	99	99	99	99	99	 good	 none	 yes	 never	 yes	 school	 sometimes	 yes 
male	 12	 2	 99	99	99	99	99	99	99	99	 verygood	 english	 yes	 sometimes	 yes	 no	 never	 yes 
male	 15	 2	 5	99	5	99	5	1	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
