male	 14	 n	 very	 very	 no	 rarely	 rarely	 somewhat
male	 14	 dk	 somewhat	 somewhat	 school	 never	 sometimes	 somewhat
male	 16	 dk	 very	 very	 home	 veryregularly	 never	 somewhat
male	 16	 n	 unsure	 very	 no	 sometimes	 never	 somewhat
male	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 13	 n	 unsure	 somewhat	 no	 rarely	 never	 very
male	 13	 n	 somewhat	 somewhat	 no	 sometimes	 regularly	 very
male	 16	 n	 very	 somewhat	 no	 rarely	 rarely	 somewhat
male	 14	 n	 very	 somewhat	 no	 rarely	 never	 notmuch
male	 15	 y	 very	 very	 no	 sometimes	 never	 very
male	 12	 y	 somewhat	 somewhat	 no	 rarely	 never	 somewhat
male	 13	 n	 very	 somewhat	 no	 rarely	 rarely	 somewhat
male	 13	 n	 very	 somewhat	 home	 rarely	 never	 somewhat
male	 16	 dk	 somewhat	 somewhat	 no	 regularly	 never	 very
male	 14	 n	 very	 very	 home	 regularly	 never	 very
male	 13	 n	 somewhat	 very	 no	 sometimes	 sometimes	 very
male	 15	 y	 somewhat	 very	 home	 veryregularly	 never	 somewhat
male	 13	 n	 very	 very	 no	 rarely	 never	 very
male	 14	 dk	 unsure	 somewhat	 home	 veryregularly	 rarely	 unsure
male	 13	 dk	 somewhat	 very	 home	 regularly	 rarely	 somewhat
male	 14	 dk	 very	 very	 home	 regularly	 rarely	 somewhat
male	 15	 y	 very	 very	 no	 sometimes	 never	 somewhat
male	 16	 n	 very	 very	 no	 regularly	 never	 very
male	 15	 n	 very	 very	 home	 regularly	 sometimes	 somewhat
male	 16	 n	 somewhat	 somewhat	 home	 veryregularly	 never	 somewhat
male	 16	 n	 very	 very	 home	 veryregularly	 never	 somewhat
male	 14	 y	 very	 very	 home	 regularly	 never	 somewhat
male	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 never	 notmuch
male	 15	 dk	 somewhat	 very	 home	 veryregularly	 never	 somewhat
male	 16	 n	 somewhat	 somewhat	 home	 veryregularly	 rarely	 unsure
male	 14	 dk	 very	 somewhat	 home	 sometimes	 never	 somewhat
male	 15	 n	 somewhat	 very	 home	 regularly	 rarely	 somewhat
male	 14	 y	 somewhat	 somewhat	 home	 regularly	 never	 somewhat
male	 15	 n	 very	 very	 home	 regularly	 never	 somewhat
male	 14	 dk	 very	 very	 no	 rarely	 never	 somewhat
male	 15	 y	 somewhat	 somewhat	 home	 veryregularly	 veryregularly	 somewhat
male	 16	 y	 somewhat	 somewhat	 home	 veryregularly	 veryregularly	 somewhat
female	 15	 dk	 very	 very	 no	 sometimes	 sometimes	 very
female	 15	 n	 very	 very	 no	 regularly	 sometimes	 very
female	 13	 dk	 very	 very	 no	 rarely	 never	 very
female	 13	 dk	 very	 very	 no	 rarely	 never	 very
female	 14	 dk	 very	 very	 home	 sometimes	 never	 very
female	 14	 dk	 very	 very	 home	 sometimes	 never	 very
female	 15	 n	 very	 somewhat	 no	 rarely	 never	 somewhat
female	 15	 y	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
female	 14	 dk	 unsure	 somewhat	 home	 regularly	 never	 very
female	 15	 y	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
female	 14	 dk	 somewhat	 somewhat	 no	 sometimes	 rarely	 somewhat
female	 15	 n	 very	 very	 no	 regularly	 sometimes	 very
female	 12	 n	 very	 very	 no	 never	 never	 very
female	 14	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 12	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 14	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 13	 n	 very	 somewhat	 school	 never	 never	 very
female	 13	 dk	 very	 very	 no	 regularly	 never	 somewhat
female	 14	 n	 unsure	 somewhat	 no	 sometimes	 rarely	 somewhat
female	 13	 dk	 very	 very	 no	 rarely	 never	 somewhat
female	 15	 n	 somewhat	 somewhat	 home	 regularly	 regularly	 very
