female	 17	 n	 somewhat	 somewhat	 no	 rarely	 never	 somewhat
female	 17	 n	 somewhat	 somewhat	 no	 rarely	 sometimes	 very
female	 16	 n	 somewhat	 somewhat	 no	 sometimes	 never	 very
female	 15	 n	 somewhat	 somewhat	 no	 sometimes	 never	 very
female	 15	 dk	 somewhat	 somewhat	 no	 never	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 no	 sometimes	 sometimes	 very
female	 15	 n	 somewhat	 somewhat	 no	 sometimes	 never	 very
female	 15	 dk	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
female	 17	 n	 very	 very	 school	 sometimes	 never	 very
female	 17	 dk	 unsure	 unsure	 no	 sometimes	 sometimes	 unsure
female	 16	 n	 very	 very	 school	 veryregularly	 sometimes	 very
female	 15	 dk	 very	 very	 no	 rarely	 rarely	 very
female	 13	 n	 very	 very	 no	 rarely	 never	 very
female	 14	 n	 very	 very	 no	 rarely	 never	 very
female	 13	 y	 notmuch	 somewhat	 no	 sometimes	 sometimes	 very
female	 17	 n	 very	 somewhat	 school	 never	 sometimes	 somewhat
female	 14	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
female	 18	 y	 very	 very	 school	 sometimes	 never	 very
female	 14	 y	 somewhat	 somewhat	 no	 sometimes	 sometimes	 very
female	 15	 n	 very	 very	 school	 veryregularly	 never	 very
female	 14	 n	 very	 very	 home	 regularly	 sometimes	 somewhat
female	 18	 n	 very	 very	 school	 rarely	 never	 somewhat
female	 15	 y	 very	 very	 school	 regularly	 sometimes	 very
male	 16	 dk	 somewhat	 very	 home	 sometimes	 regularly	 very
male	 15	 dk	 somewhat	 somewhat	 home	 regularly	 regularly	 somewhat
male	 15	 y	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 15	 y	 somewhat	 somewhat	 school	 sometimes	 sometimes	 very
male	 15	 dk	 very	 somewhat	 home	 regularly	 regularly	 somewhat
male	 16	 dk	 somewhat	 very	 no	 regularly	 sometimes	 somewhat
male	 16	 dk	 somewhat	 very	 home	 regularly	 rarely	 very
male	 15	 dk	 very	 very	 no	 sometimes	 rarely	 unsure
male	 16	 dk	 somewhat	 very	 no	 sometimes	 rarely	 very
male	 13	 dk	 unsure	 somewhat	 school	 sometimes	 rarely	 somewhat
male	 16	 dk	 unsure	 very	 no	 sometimes	 rarely	 unsure
male	 16	 dk	 unsure	 very	 no	 sometimes	 rarely	 unsure
male	 15	 dk	 unsure	 notmuch	 no	 sometimes	 rarely	 unsure
male	 15	 dk	 unsure	 very	 no	 sometimes	 rarely	 unsure
male	 15	 dk	 very	 very	 no	 sometimes	 sometimes	 very
male	 15	 dk	 unsure	 somewhat	 school	 sometimes	 rarely	 somewhat
male	 13	 n	 unsure	 very	 school	 veryregularly	 rarely	 somewhat
