male	 17	 y	 very	 very	 no	 never	 never	 very
male	 13	 n	 somewhat	 somewhat	 home	 sometimes	 sometimes	 very
male	 11	 y	 somewhat	 very	 HomeSchool	 regularly	 never	 somewhat
male	 12	 dk	 somewhat	 somewhat	 school	 sometimes	 never	 somewhat
male	 12	 n	 somewhat	 very	 no	 sometimes	 never	 very
male	 13	 dk	 somewhat	 very	 school	 regularly	 regularly	 very
male	 13	 y	 very	 very	 HomeSchool	 veryregularly	 regularly	 somewhat
male	 14	 dk	 very	 very	 no	 rarely	 never	 very
male	 13	 dk	 very	 very	 HomeSchool	 regularly	 rarely	 somewhat
male	 15	 y	 very	 very	 no	 never	 never	 somewhat
male	 13	 dk	 unsure	 somewhat	 school	 regularly	 sometimes	 somewhat
male	 16	 y	 very	 very	 no	 never	 never	 very
male	 15	 y	 very	 very	 no	 never	 sometimes	 very
male	 13	 y	 very	 very	 HomeSchool	 regularly	 never	 very
male	 13	 y	 somewhat	 very	 HomeSchool	 veryregularly	 never	 somewhat
male	 17	 y	 very	 very	 home	 regularly	 sometimes	 very
male	 17	 y	 very	 very	 home	 veryregularly	 never	 somewhat
male	 15	 y	 very	 very	 home	 veryregularly	 never	 somewhat
male	 12	 y	 somewhat	 very	 no	 sometimes	 never	 somewhat
male	 13	 y	 very	 very	 no	 sometimes	 never	 somewhat
male	 14	 dk	 very	 very	 no	 sometimes	 sometimes	 somewhat
male	 14	 n	 unsure	 somewhat	 no	 sometimes	 rarely	 somewhat
male	 13	 n	 unsure	 somewhat	 home	 veryregularly	 never	 somewhat
male	 14	 y	 somewhat	 somewhat	 home	 veryregularly	 never	 very
male	 13	 y	 unsure	 very	 home	 regularly	 never	 somewhat
male	 12	 y	 very	 very	 school	 veryregularly	 sometimes	 very
male	 11	 y	 very	 very	 school	 rarely	 never	 very
male	 13	 y	 very	 very	 no	 sometimes	 veryregularly	 somewhat
female	 13	 y	 somewhat	 somewhat	 school	 sometimes	 rarely	 somewhat
female	 15	 dk	 somewhat	 somewhat	 school	 regularly	 sometimes	 somewhat
female	 13	 y	 very	 very	 school	 veryregularly	 veryregularly	 very
female	 14	 n	 somewhat	 somewhat	 no	 rarely	 never	 somewhat
