,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
19,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
20,yes,very,very,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,yes,yes
21,dontknow,unsure,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
22,yes,unsure,very,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,yes,yes
23,yes,unsure,very,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,yes,yes
24,yes,very,very,okay,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
25,yes,very,very,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
26,yes,very,very,okay,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
27,yes,very,very,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
28,yes,very,very,verygood,4,not_used,2,2,2,not_used,4,3,yes,yes
29,yes,very,somewhat,verygood,4,not_used,2,2,not_used,4,5,3,yes,yes
30,yes,very,very,verygood,2,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
31,yes,somewhat,somewhat,verygood,3,5,1,not_used,3,not_used,3,not_used,yes,maybe
32,no,notatall,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,maybe
33,yes,somewhat,somewhat,good,5,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,maybe
34,no,notatall,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,maybe
35,yes,very,very,good,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
36,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,maybe
37,yes,very,very,verygood,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
38,yes,very,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
39,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
40,yes,very,unsure,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
41,yes,very,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
42,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
43,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
44,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
45,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
46,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
47,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
48,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
49,yes,very,very,verygood,not_used,not_used,1,not_used,not_used,not_used,not_used,not_used,yes,yes
50,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
51,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
52,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
53,yes,very,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
54,yes,very,unsure,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
55,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
56,yes,unsure,unsure,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
57,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
58,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
59,dontknow,unsure,unsure,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
60,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
61,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
62,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
63,yes,somewhat,unsure,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
64,yes,unsure,very,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
65,dontknow,unsure,unsure,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
66,yes,somewhat,very,verygood,not_rated,5,not_rated,not_used,not_rated,not_rated,not_used,not_used,yes,maybe
67,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
68,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
