,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
34,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
35,yes,very,very,verygood,not_rated,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
36,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
37,yes,very,very,verygood,not_rated,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
38,yes,very,very,verygood,3,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
39,no,unsure,unsure,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
40,yes,very,somewhat,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
41,yes,unsure,very,verygood,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
42,yes,very,very,verygood,5,4,5,not_used,not_used,not_used,not_used,not_used,yes,yes
43,yes,very,very,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
44,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
45,yes,very,very,verygood,5,2,5,5,5,5,not_used,1,yes,yes
46,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
47,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
48,yes,very,very,verygood,not_used,4,4,not_used,not_used,not_used,not_used,not_used,yes,yes
49,yes,unsure,unsure,good,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,yes,yes
50,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
51,yes,very,unsure,good,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,yes,yes
52,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
53,yes,very,very,verygood,4,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
54,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
55,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
56,yes,very,very,verygood,not_used,not_used,5,not_used,3,not_used,not_used,not_used,yes,yes
57,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
58,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
59,yes,very,very,verygood,3,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
60,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
61,yes,very,very,verygood,not_used,4,4,not_used,not_used,not_used,not_used,not_used,yes,yes
62,yes,very,somewhat,verygood,2,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
63,yes,very,somewhat,verygood,2,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
64,yes,very,somewhat,good,2,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
65,yes,very,very,verygood,not_used,5,5,not_used,4,not_used,not_used,not_used,yes,yes
66,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
67,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
68,yes,very,very,verygood,not_used,4,5,not_used,5,not_used,not_used,not_used,yes,yes
69,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
70,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
71,yes,very,very,good,3,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
72,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
73,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
74,yes,very,very,verygood,5,not_used,4,not_used,3,not_used,not_used,not_used,yes,yes
75,yes,very,very,verygood,5,not_used,4,not_used,3,not_used,not_used,not_used,yes,yes
76,yes,very,very,verygood,5,not_used,4,not_used,3,not_used,not_used,not_used,yes,yes
77,yes,very,very,good,5,not_used,4,3,5,not_used,not_used,5,yes,yes
78,yes,very,somewhat,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,maybe
79,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
80,yes,somewhat,somewhat,good,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
81,yes,very,somewhat,okay,4,not_used,not_used,not_used,5,not_used,not_used,not_used,yes,yes
82,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
83,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
84,yes,very,somewhat,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
85,yes,very,very,verygood,not_used,4,4,not_used,not_used,4,not_used,not_used,yes,yes
