,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
79,yes,very,very,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
80,yes,very,somewhat,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
81,no,very,somewhat,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
82,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
83,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
84,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,maybe
85,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
86,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
87,yes,unsure,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
88,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
89,yes,very,very,verygood,4,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
90,yes,very,very,good,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
91,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,4,yes,yes
92,dontknow,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
93,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
94,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,yes,yes
95,yes,very,very,verygood,not_rated,not_rated,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
96,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
97,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
98,yes,very,very,verygood,not_rated,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
99,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,yes,yes
100,yes,somewhat,somewhat,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
101,yes,very,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
102,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
103,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
104,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
105,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
106,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
107,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
108,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
109,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
110,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
111,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
112,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
113,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
114,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
115,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
116,yes,very,very,verygood,5,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
117,yes,very,somewhat,good,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,maybe
118,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
119,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
