,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
72,male,14,dontknow,very,very,no,rarely,never,very,dontknow,very,very,verygood,not_used,4,4,not_used,not_used,not_used,not_used,not_used,yes,yes
73,male,13,dontknow,very,very,HomeSchool,regularly,rarely,somewhat,yes,somewhat,very,okay,4,3,not_used,not_used,not_used,not_used,not_used,4,yes,maybe
74,male,15,yes,very,very,no,never,never,somewhat,yes,somewhat,very,verygood,not_used,not_used,4,not_used,4,not_used,not_used,4,yes,yes
75,male,13,dontknow,unsure,somewhat,school,regularly,sometimes,somewhat,yes,somewhat,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
76,male,16,yes,very,very,no,never,never,very,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,3,yes,yes
77,male,15,yes,very,very,no,never,sometimes,very,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,3,yes,yes
78,male,13,yes,very,very,HomeSchool,regularly,never,very,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,4,yes,yes
79,male,13,yes,somewhat,very,HomeSchool,veryregularly,never,somewhat,yes,very,somewhat,good,not_used,not_used,4,not_used,not_used,not_used,not_used,5,yes,yes
80,male,17,yes,very,very,home,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_rated,yes,yes
81,male,17,yes,very,very,home,veryregularly,never,somewhat,yes,very,very,good,not_used,4,not_used,not_used,3,not_used,not_used,5,yes,yes
82,male,15,yes,very,very,home,veryregularly,never,somewhat,yes,very,very,good,not_used,4,not_used,not_used,4,not_used,not_used,4,yes,yes
83,male,12,yes,somewhat,very,no,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,3,yes,yes
84,male,13,yes,very,very,no,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,4,yes,yes
85,male,14,dontknow,very,very,no,sometimes,sometimes,somewhat,dontknow,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
86,male,14,no,unsure,somewhat,no,sometimes,rarely,somewhat,dontknow,somewhat,somewhat,okay,not_used,not_used,3,2,not_used,3,not_used,4,yes,yes
87,male,13,no,unsure,somewhat,home,veryregularly,never,somewhat,yes,somewhat,somewhat,good,not_used,not_used,4,3,not_used,3,not_used,4,yes,yes
88,male,14,yes,somewhat,somewhat,home,veryregularly,never,very,yes,somewhat,somewhat,good,not_used,4,not_used,not_used,4,not_used,not_used,4,yes,yes
89,male,13,yes,unsure,very,home,regularly,never,somewhat,dontknow,somewhat,somewhat,verygood,3,not_used,1,2,not_used,not_used,not_used,4,maybe,yes
90,male,12,yes,very,very,school,veryregularly,sometimes,very,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,5,5,5,maybe,yes
91,male,11,yes,very,very,school,rarely,never,very,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,5,5,5,maybe,yes
