,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
21,male,14,dontknow,somewhat,very,no,rarely,rarely,somewhat,dontknow,somewhat,somewhat,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
22,male,15,no,very,somewhat,school,regularly,never,very,yes,somewhat,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,maybe,maybe
23,male,11,yes,unsure,very,no,regularly,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,4,not_used,not_used,not_used,maybe,maybe
24,male,12,no,very,somewhat,home,sometimes,never,somewhat,yes,somewhat,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
25,male,13,yes,very,very,no,rarely,never,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
26,male,13,no,very,very,home,rarely,sometimes,very,yes,somewhat,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
27,male,15,no,somewhat,very,home,rarely,rarely,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
28,male,14,no,somewhat,very,home,sometimes,sometimes,somewhat,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
29,male,14,no,very,somewhat,home,sometimes,sometimes,somewhat,yes,somewhat,somewhat,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
30,male,15,yes,very,very,no,sometimes,rarely,very,yes,very,very,verygood,not_used,not_used,5,5,not_used,not_used,not_used,not_used,yes,yes
31,male,14,yes,very,very,no,sometimes,rarely,somewhat,yes,very,very,verygood,not_used,not_used,5,5,not_used,not_used,not_used,not_used,yes,yes
32,male,14,no,very,very,no,rarely,never,very,yes,somewhat,somewhat,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
33,male,13,yes,very,very,no,sometimes,rarely,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
34,male,15,yes,somewhat,notmuch,home,sometimes,never,very,yes,somewhat,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
35,male,13,no,very,very,school,never,never,somewhat,yes,somewhat,somewhat,good,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,maybe,maybe
36,male,14,no,very,somewhat,home,veryregularly,never,somewhat,yes,somewhat,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
37,male,14,no,very,very,no,rarely,rarely,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
38,male,14,dontknow,somewhat,somewhat,school,never,sometimes,somewhat,yes,somewhat,somewhat,verygood,5,5,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
39,male,16,dontknow,very,very,home,veryregularly,never,somewhat,yes,very,very,good,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
40,male,16,no,unsure,very,no,sometimes,never,somewhat,dontknow,very,somewhat,verygood,not_used,4,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
41,male,15,dontknow,somewhat,somewhat,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,5,4,5,not_used,not_used,5,not_used,not_used,yes,yes
42,male,13,no,unsure,somewhat,no,rarely,never,very,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
43,male,13,no,somewhat,somewhat,no,sometimes,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
44,male,16,no,very,somewhat,no,rarely,rarely,somewhat,yes,somewhat,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,maybe,yes
45,male,14,no,very,somewhat,no,rarely,never,notmuch,yes,somewhat,somewhat,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,maybe,yes
46,male,15,yes,very,very,no,sometimes,never,very,yes,very,very,verygood,not_used,not_used,5,5,not_used,not_used,not_used,not_used,yes,yes
47,male,12,yes,somewhat,somewhat,no,rarely,never,somewhat,yes,somewhat,somewhat,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
48,male,13,no,very,somewhat,no,rarely,rarely,somewhat,yes,somewhat,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,maybe,yes
