,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
27,female,13,dontknow,unsure,somewhat,school,sometimes,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
28,female,13,dontknow,very,very,school,rarely,never,very,yes,somewhat,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,maybe,maybe
29,male,15,no,somewhat,somewhat,no,rarely,sometimes,very,yes,very,very,verygood,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
30,male,15,no,somewhat,very,home,regularly,never,somewhat,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
31,male,15,no,unsure,very,school,sometimes,rarely,very,yes,very,very,verygood,5,5,not_used,not_used,5,not_used,not_used,not_used,yes,yes
32,male,16,no,unsure,very,no,never,never,very,yes,somewhat,very,verygood,4,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
33,male,15,no,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
34,male,16,no,somewhat,somewhat,school,sometimes,never,notmuch,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
35,male,14,no,very,very,home,sometimes,never,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
36,male,16,no,unsure,somewhat,no,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
37,male,15,no,somewhat,very,home,sometimes,regularly,very,yes,very,somewhat,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
38,male,16,no,somewhat,very,home,veryregularly,never,somewhat,yes,somewhat,somewhat,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
39,male,16,no,unsure,somewhat,no,sometimes,never,somewhat,yes,somewhat,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
40,male,16,no,unsure,very,school,sometimes,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
41,male,16,no,unsure,very,home,veryregularly,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
42,male,13,dontknow,somewhat,very,home,regularly,regularly,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
43,male,14,dontknow,unsure,unsure,no,sometimes,never,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
44,male,15,no,unsure,very,school,sometimes,never,very,yes,very,very,verygood,4,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
45,male,15,no,very,very,home,sometimes,never,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
46,male,14,no,very,very,home,veryregularly,never,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
47,male,15,no,very,very,no,sometimes,never,somewhat,yes,very,very,verygood,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
48,male,15,no,unsure,somewhat,school,rarely,sometimes,very,yes,very,very,verygood,not_used,5,not_used,not_used,5,not_used,not_used,not_used,yes,yes
49,male,14,no,very,very,no,rarely,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,3,yes,yes
50,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,not_used,5,yes,yes
51,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
52,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
53,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
54,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
55,female,15,no,very,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
56,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
57,female,15,no,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
