,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
73,female,15,no,very,very,school,sometimes,never,very,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
74,female,14,no,somewhat,very,no,rarely,never,somewhat,yes,very,somewhat,verygood,not_used,not_used,not_used,not_used,not_used,not_used,4,not_used,yes,yes
75,female,15,dontknow,very,somewhat,no,rarely,rarely,very,yes,very,somewhat,good,4,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
76,female,15,dontknow,somewhat,very,no,rarely,never,somewhat,yes,very,somewhat,good,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,maybe,maybe
77,female,14,no,somewhat,very,no,rarely,never,somewhat,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,4,not_used,yes,yes
78,female,15,dontknow,very,very,school,sometimes,sometimes,very,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,yes,yes
79,female,14,dontknow,very,very,home,veryregularly,sometimes,very,yes,very,somewhat,verygood,not_used,not_rated,not_used,not_used,not_rated,not_rated,not_used,not_used,yes,yes
80,female,14,dontknow,very,very,school,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_rated,not_rated,not_used,not_used,yes,yes
81,female,13,no,somewhat,very,home,regularly,rarely,somewhat,yes,very,very,verygood,5,5,5,not_used,5,5,not_used,not_used,yes,yes
82,female,14,no,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
83,female,14,no,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
84,female,11,no,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
85,female,10,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
86,female,13,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
87,female,12,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
88,female,14,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
89,female,14,no,very,very,no,rarely,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
90,female,9,yes,very,very,school,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
91,female,14,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
92,female,14,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
93,female,12,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
94,female,9,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
95,female,9,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
