,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit
96,male,12,dontknow,unsure,somewhat,no,never,never,very
97,male,14,yes,somewhat,unsure,school,regularly,sometimes,notatall
98,male,13,yes,very,very,home,veryregularly,regularly,very
99,male,14,dontknow,somewhat,very,home,regularly,regularly,very
100,male,15,no,very,very,home,regularly,veryregularly,notmuch
101,male,15,dontknow,unsure,very,home,veryregularly,regularly,somewhat
102,male,14,dontknow,somewhat,very,no,regularly,veryregularly,very
103,male,12,yes,very,very,HomeSchool,regularly,sometimes,somewhat
104,male,12,yes,very,very,HomeSchool,regularly,sometimes,somewhat
105,male,14,yes,very,very,HomeSchool,veryregularly,regularly,somewhat
106,male,13,dontknow,very,very,HomeSchool,regularly,sometimes,somewhat
107,male,13,yes,very,very,HomeSchool,regularly,sometimes,very
108,male,14,dontknow,notmuch,somewhat,no,regularly,never,unsure
109,male,15,dontknow,somewhat,very,home,veryregularly,sometimes,notmuch
110,male,15,dontknow,very,very,home,veryregularly,veryregularly,very
111,male,15,dontknow,notatall,very,no,rarely,sometimes,notatall
112,male,11,dontknow,notatall,notatall,no,never,rarely,very
113,male,14,no,somewhat,somewhat,no,regularly,sometimes,very
114,female,13,dontknow,notatall,notatall,no,never,never,very
115,female,13,dontknow,notatall,very,no,rarely,sometimes,notatall
116,female,12,no,very,very,no,sometimes,never,somewhat
117,female,14,no,unsure,very,no,never,sometimes,somewhat
118,female,14,no,very,very,home,regularly,sometimes,somewhat
119,female,15,no,very,very,no,rarely,never,very
