,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
17,female,16,yes,somewhat,very,school,veryregularly,sometimes,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,yes,yes
18,female,16,dontknow,somewhat,somewhat,school,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
19,female,16,yes,very,very,school,veryregularly,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
20,female,13,yes,somewhat,very,no,regularly,never,very,yes,very,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
21,female,14,yes,very,very,home,sometimes,never,very,yes,very,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,5,maybe,maybe
22,female,15,dontknow,somewhat,very,no,rarely,never,somewhat,yes,very,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
23,female,13,yes,somewhat,very,home,regularly,never,very,yes,very,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
24,female,15,no,very,very,home,regularly,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
25,female,15,dontknow,somewhat,very,no,rarely,never,somewhat,yes,very,very,verygood,not_used,4,5,not_used,5,not_used,not_used,not_used,maybe,maybe
26,female,15,no,very,very,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,5,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
27,female,15,no,very,very,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,3,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
28,female,15,no,somewhat,very,no,sometimes,never,very,yes,very,somewhat,good,not_used,4,5,not_used,5,not_used,not_used,not_used,yes,yes
29,female,15,no,somewhat,somewhat,no,sometimes,never,somewhat,yes,very,very,verygood,not_used,4,5,not_used,5,not_used,not_used,not_used,yes,yes
30,female,15,no,somewhat,very,no,sometimes,never,very,yes,very,very,verygood,not_used,5,5,not_used,5,not_used,not_used,not_used,yes,yes
31,female,14,yes,somewhat,somewhat,school,sometimes,sometimes,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
32,female,12,dontknow,somewhat,unsure,no,sometimes,never,unsure,yes,somewhat,somewhat,good,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,maybe,maybe
